Sample_ID,Class_ID,Class_Name,Brake_Delta_S,Exit_Speed_Delta_KMH,Time_Loss_S
sample_032,3,Slow Throttle (出彎給油慢),0.0,7.045826,0.1920848
sample_033,0,Normal (正常),0.0,0.0,0.0
sample_034,1,Late Braking (晚煞車),0.19574213,5.5002594,0.34090623
sample_035,1,Late Braking (晚煞車),0.15359415,6.679509,0.31352606
sample_036,1,Late Braking (晚煞車),0.2071737,6.7819066,0.26168373
sample_037,1,Late Braking (晚煞車),0.23499121,5.85004,0.30887485
sample_038,1,Late Braking (晚煞車),0.1277292,6.7168646,0.17370214
sample_039,2,Early Braking (早煞車),-0.14124605,-0.5736626,0.18002215
sample_040,2,Early Braking (早煞車),-0.30496123,0.23042567,0.11439271
sample_041,2,Early Braking (早煞車),-0.19033696,0.053740088,0.113996945
sample_042,2,Early Braking (早煞車),-0.14649089,0.08350245,0.19001219
sample_043,2,Early Braking (早煞車),-0.30399513,0.91831625,0.11416116
sample_044,3,Slow Throttle (出彎給油慢),0.0,7.5109215,0.35687652
sample_045,3,Slow Throttle (出彎給油慢),0.0,5.9940553,0.33498672
sample_046,3,Slow Throttle (出彎給油慢),0.0,5.2314353,0.33260304
sample_047,3,Slow Throttle (出彎給油慢),0.0,9.902118,0.29494345
sample_048,3,Slow Throttle (出彎給油慢),0.0,9.215297,0.29953536
sample_049,0,Normal (正常),0.0,0.0,0.0
sample_050,1,Late Braking (晚煞車),0.11780739,4.4934163,0.2418087
sample_051,1,Late Braking (晚煞車),0.1175775,4.719658,0.34055513
sample_052,1,Late Braking (晚煞車),0.2245763,2.4249802,0.32105663
sample_053,1,Late Braking (晚煞車),0.16435587,6.4594545,0.30685616
sample_054,1,Late Braking (晚煞車),0.22280583,3.3739405,0.23693039
sample_055,2,Early Braking (早煞車),-0.31124192,-0.13302328,0.12804222
sample_056,2,Early Braking (早煞車),-0.14440672,-0.26478747,0.17099851
sample_057,2,Early Braking (早煞車),-0.21313013,-0.4257294,0.10907349
sample_058,2,Early Braking (早煞車),-0.27335232,0.7458651,0.15098801
sample_059,2,Early Braking (早煞車),-0.30927384,0.25150412,0.21167912
sample_060,3,Slow Throttle (出彎給油慢),0.0,9.818589,0.122454785
sample_061,3,Slow Throttle (出彎給油慢),0.0,4.1839905,0.2618187
sample_062,3,Slow Throttle (出彎給油慢),0.0,8.822531,0.20853968
sample_063,3,Slow Throttle (出彎給油慢),0.0,7.0631485,0.33532995
sample_064,3,Slow Throttle (出彎給油慢),0.0,4.516759,0.20449218
sample_065,0,Normal (正常),0.0,0.0,0.0
sample_066,1,Late Braking (晚煞車),0.11078824,7.7971435,0.29754105
sample_067,1,Late Braking (晚煞車),0.20496,7.4239583,0.2180446
sample_068,1,Late Braking (晚煞車),0.09728498,5.5127416,0.34273744
sample_069,1,Late Braking (晚煞車),0.23700263,5.485941,0.24032176
sample_070,1,Late Braking (晚煞車),0.14550821,3.875301,0.26501033
sample_071,2,Early Braking (早煞車),-0.21242411,0.69646037,0.16146588
sample_072,2,Early Braking (早煞車),-0.1457842,0.12214862,0.12752731
sample_073,2,Early Braking (早煞車),-0.26123163,0.9415069,0.10578272
sample_074,2,Early Braking (早煞車),-0.2767215,-0.057747692,0.19579545
sample_075,2,Early Braking (早煞車),-0.13322397,-0.2310252,0.10546954
sample_076,3,Slow Throttle (出彎給油慢),0.0,3.831871,0.30362993
sample_077,3,Slow Throttle (出彎給油慢),0.0,9.109455,0.21119897
sample_078,3,Slow Throttle (出彎給油慢),0.0,6.04009,0.32754323
sample_079,3,Slow Throttle (出彎給油慢),0.0,5.883516,0.36905277
sample_080,3,Slow Throttle (出彎給油慢),0.0,8.567884,0.3932313
sample_081,0,Normal (正常),0.0,0.0,0.0
sample_082,1,Late Braking (晚煞車),0.20705019,4.0687237,0.24020931
sample_083,1,Late Braking (晚煞車),0.3186751,4.683518,0.168392
sample_084,1,Late Braking (晚煞車),0.21539319,5.7547398,0.2714073
sample_085,1,Late Braking (晚煞車),0.19536456,5.156284,0.31841132
sample_086,1,Late Braking (晚煞車),0.2305793,5.9027243,0.28707764
sample_087,2,Early Braking (早煞車),-0.41600385,0.9379511,0.18316442
sample_088,2,Early Braking (早煞車),-0.36303252,0.22061194,0.11861035
sample_089,2,Early Braking (早煞車),-0.3143945,0.33931372,0.14056063
sample_090,2,Early Braking (早煞車),-0.31887275,-0.26262844,0.19349243
sample_091,2,Early Braking (早煞車),-0.28542313,-0.35478023,0.14917679
sample_092,3,Slow Throttle (出彎給油慢),0.0,7.0045233,0.12611717
sample_093,3,Slow Throttle (出彎給油慢),0.0,5.5130916,0.16075169
sample_094,3,Slow Throttle (出彎給油慢),0.0,3.1231675,0.38420892
sample_095,3,Slow Throttle (出彎給油慢),0.0,6.8258333,0.31045002
sample_096,3,Slow Throttle (出彎給油慢),0.0,9.140265,0.16418397
